pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
246,"BREILING B. (PF)
TBB Trier",3,10:24:00,0,0,0,0.00%,0,1,0.00%,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,2,-1,-1,0
247,"ZEEB G. (PG)
Eisbären Bremerhaven",7,22:31:00,0,0,1,0.00%,0,0,0.00%,0,1,0.00%,0,0,0.00%,0,0,0,2,0,2,0,1,-1,0,0
248,"BAUES H. (PF)
Eisbären Bremerhaven",2,02:07:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,1,1,0,0,0,5,0
249,"GAIS J. (PF)
Crailsheim Merlins",2,06:58:00,0,0,1,0.00%,0,0,0.00%,0,1,0.00%,0,0,0.00%,2,0,2,0,0,0,0,0,1,3,0
250,"HEILRATH P. (PF)
Crailsheim Merlins",7,19:22:00,0,0,2,0.00%,0,0,0.00%,0,2,0.00%,0,0,0.00%,2,0,2,2,1,0,0,2,3,-23,0
251,"HARTENSTEIN I. (PF)
Artland Dragons",1,01:12:00,0,0,0,0.00%,0,1,0.00%,0,1,0.00%,0,0,0.00%,1,0,1,0,0,0,0,0,0,0,0
252,"BLASS V. (SG)
Telekom Baskets Bonn",1,02:42:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,1,0,1,0,0,0,0,0,1,0,0
253,"CARPENTER L. (PG)
Crailsheim Merlins",1,04:11:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-2,0
254,"LAGERPUSCH L. (PF)
Basketball Löwen Braunschweig",1,01:00:00,0,0,2,0.00%,0,0,0.00%,0,2,0.00%,0,0,0.00%,0,1,1,0,0,0,0,0,-1,-4,0
255,"OLDENBURG T. (PF)
FRAPORT SKYLINERS",1,02:16:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,1,0,0,1,0,1,0,-5,0
256,"OKEKE L. (SG)
FRAPORT SKYLINERS",1,03:23:00,0,0,1,0.00%,0,1,0.00%,0,2,0.00%,0,0,0.00%,1,0,1,0,0,0,0,0,-1,0,0
257,"ADLER M. (SG)
medi bayreuth",1,02:29:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-5,0
258,"BEHR M. (PF)
Eisbären Bremerhaven",1,01:32:00,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,1,0,0,-1,0,0
