pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
163,"BAHIENSE DE MELLO D. (SG)
EWE Baskets Oldenburg",34,516:54:00,143,19,33,57.60%,30,98,30.60%,49,131,37.40%,15,19,79.00%,42,10,52,26,8,26,0,59,117,-3,0
164,"GRüNHEID G. (PF)
Artland Dragons",34,506:53:00,143,46,87,52.90%,9,34,26.50%,55,121,45.50%,24,52,46.20%,79,34,113,41,29,40,17,77,209,84,0
166,"KING A. (SF)
s.Oliver Baskets",34,545:12:00,139,32,59,54.20%,18,78,23.10%,50,137,36.50%,21,32,65.60%,61,34,95,27,20,20,0,56,163,35,0
167,"OEHLE R. (C)
LTi GIESSEN 46ers",34,396:41:00,138,49,106,46.20%,0,1,0.00%,49,107,45.80%,40,62,64.50%,57,22,79,5,3,29,13,68,129,-60,0
32,"MARTIN T. (SG)
Eisbären Bremerhaven",11,305:35:00,133,35,83,42.20%,16,49,32.70%,51,132,38.60%,15,18,83.30%,41,18,59,16,9,20,3,21,116,-3,1
148,"WASHINGTON J. (SG)
TBB Trier",23,420:55:00,132,19,49,38.80%,22,74,29.70%,41,123,33.30%,28,35,80.00%,35,6,41,14,8,25,0,40,81,-87,0
3,"GRAY J. (PG)
FRAPORT SKYLINERS",8,254:01:00,128,23,55,41.80%,17,58,29.30%,40,113,35.40%,31,33,93.90%,20,2,22,28,1,22,1,26,83,-42,0
143,"GORDON A. (PG)
Eisbären Bremerhaven",21,459:33:00,128,14,41,34.10%,27,80,33.80%,41,121,33.90%,19,23,82.60%,27,1,28,50,14,36,0,43,100,-50,0
171,"NOCH P. (SF)
BG Göttingen",34,451:54:00,127,36,86,41.90%,13,53,24.50%,49,139,35.30%,16,28,57.10%,44,22,66,14,8,28,2,71,87,-220,0
165,"KULAWICK R. (SG)
New Yorker Phantoms Braunschweig",30,442:47:00,124,8,18,44.40%,33,81,40.70%,41,99,41.40%,9,10,90.00%,44,11,55,18,13,9,0,56,142,49,0
169,"SCHULTZE S. (PF)
ALBA BERLIN",31,311:59:00,121,14,24,58.30%,27,68,39.70%,41,92,44.60%,12,15,80.00%,33,6,39,17,8,18,2,57,115,54,0
136,"BAILEY B. (SG)
Artland Dragons",19,441:15:00,120,31,64,48.40%,5,26,19.20%,36,90,40.00%,43,60,71.70%,17,2,19,42,16,28,1,50,99,61,0
127,"CHIKOKO V. (PF)
BG Göttingen",17,246:13:00,117,46,80,57.50%,4,8,50.00%,50,88,56.80%,13,24,54.20%,41,35,76,5,3,17,12,35,147,-35,2
172,"SHTEIN M. (C)
BBC Bayreuth",31,454:50:00,115,36,84,42.90%,1,9,11.10%,37,93,39.80%,40,69,58.00%,55,26,81,8,2,27,6,55,100,-186,0
159,"SMEULDERS R. (C)
EWE Baskets Oldenburg",25,390:17:00,113,37,74,50.00%,0,0,0.00%,37,74,50.00%,39,58,67.20%,65,33,98,7,6,20,4,58,152,-55,0
160,"SEWARD E. (C)
Phoenix Hagen",26,373:58:00,113,48,70,68.60%,0,0,0.00%,48,70,68.60%,17,41,41.50%,68,46,114,3,3,19,13,47,181,-86,0
140,"BAILEY K. (PG)
BG Göttingen",18,508:29:00,111,24,85,28.20%,14,48,29.20%,38,133,28.60%,21,33,63.60%,49,24,73,32,10,26,1,41,94,-179,0
142,"STOKES C. (SG)
BBC Bayreuth",18,300:21:00,110,14,33,42.40%,24,80,30.00%,38,113,33.60%,10,12,83.30%,31,3,34,17,4,24,3,36,67,-70,0
181,"BETZ S. (SF)
ratiopharm ulm",34,403:32:00,109,15,31,48.40%,17,43,39.50%,32,74,43.20%,28,34,82.40%,33,16,49,16,7,10,2,47,125,55,0
36,"DALE L. (PG)
BG Göttingen",9,240:56:00,107,18,52,34.60%,16,49,32.70%,34,101,33.70%,23,25,92.00%,12,6,18,20,6,15,1,38,68,-109,0
116,"VEIDEMAN R. (SG)
BBC Bayreuth",14,340:53:00,105,20,43,46.50%,14,39,35.90%,34,82,41.50%,23,35,65.70%,24,9,33,26,13,30,3,29,90,-55,0
132,"TUCKER D. (C)
BG Göttingen",16,258:13:00,105,21,34,61.80%,15,39,38.50%,36,73,49.30%,18,22,81.80%,31,10,41,8,4,12,1,34,106,-101,0
112,"MILOSEVIC I. (PG)
New Yorker Phantoms Braunschweig",13,238:38:00,104,33,50,66.00%,6,14,42.90%,39,64,60.90%,20,31,64.50%,15,3,18,38,14,22,0,40,116,28,0
179,"NOLTE M. (C)
FRAPORT SKYLINERS",32,399:40:00,104,30,59,50.80%,0,0,0.00%,30,59,50.90%,44,62,71.00%,32,33,65,6,6,22,5,55,117,-65,0
186,"MANGOLD A. (PG)
Telekom Baskets Bonn",34,469:00:00,104,12,35,34.30%,18,48,37.50%,30,83,36.10%,26,34,76.50%,35,12,47,28,16,29,0,80,105,12,0
187,"TOMASZEK R. (PF)
s.Oliver Baskets",34,384:07:00,104,38,88,43.20%,0,2,0.00%,38,90,42.20%,28,41,68.30%,47,33,80,8,14,32,4,87,113,-6,0
190,"TADDA K. (SG)
Brose Baskets",34,480:57:00,103,17,26,65.40%,17,64,26.60%,34,90,37.80%,18,24,75.00%,35,3,38,55,23,10,4,55,151,315,0
183,"RAFFINGTON J. (PF)
Eisbären Bremerhaven",32,286:22:00,102,30,61,49.20%,9,33,27.30%,39,94,41.50%,15,22,68.20%,24,22,46,16,1,18,2,42,87,-36,0
178,"SEHOVIC S. (SG)
EWE Baskets Oldenburg",30,367:59:00,98,22,38,57.90%,9,49,18.40%,31,87,35.60%,27,31,87.10%,45,18,63,17,6,27,2,38,99,-6,0
177,"SCHMITZ S. (PG)
BBC Bayreuth",29,368:30:00,96,12,29,41.40%,18,57,31.60%,30,86,34.90%,18,20,90.00%,35,4,39,32,4,30,0,43,83,-101,0
188,"SCHWETHELM P. (SF)
FC Bayern München",31,411:44:00,95,13,25,52.00%,19,67,28.40%,32,92,34.80%,12,13,92.30%,50,16,66,9,10,18,1,42,102,17,0
192,"SCHNEIDERS N. (C)
New Yorker Phantoms Braunschweig",31,250:11:00,92,36,62,58.10%,0,0,0.00%,36,62,58.10%,20,39,51.30%,49,37,86,5,7,17,7,66,135,-19,0
185,"ZAZAI A. (PG)
LTi GIESSEN 46ers",27,408:44:00,83,23,53,43.40%,2,18,11.10%,25,71,35.20%,31,39,79.50%,24,7,31,55,23,34,0,63,104,-86,0
111,"AHELEGBE K. (PG)
BG Göttingen",10,263:37:00,81,19,42,45.20%,5,16,31.30%,24,58,41.40%,28,32,87.50%,15,2,17,19,5,16,1,26,69,-124,0
197,"FAßLER O. (SG)
TBB Trier",31,454:51:00,80,20,58,34.50%,10,46,21.70%,30,104,28.90%,10,15,66.70%,47,8,55,21,5,26,1,48,57,-185,0
205,"MCCRAY D. (PG)
EnBW Ludwigsburg",33,424:41:00,78,10,39,25.60%,13,50,26.00%,23,89,25.80%,19,33,57.60%,24,14,38,30,19,29,4,62,60,39,0
153,"JAZVIN E. (C)
EnBW Ludwigsburg",15,247:59:00,75,30,55,54.50%,0,1,0.00%,30,56,53.60%,15,22,68.20%,24,22,46,12,6,23,0,39,83,-36,0
134,"BUCKNOR J. (SF)
s.Oliver Baskets",11,150:55:00,70,9,16,56.30%,13,35,37.10%,22,51,43.10%,13,16,81.30%,24,7,31,4,5,13,0,21,65,-8,0
189,"KLEBER M. (PF)
s.Oliver Baskets",23,171:31:00,70,14,23,60.90%,9,26,34.60%,23,49,46.90%,15,24,62.50%,17,13,30,5,4,13,6,19,67,26,0
